pool_index,layer,head,baseline_mse,ablated_mse,delta_mse,relative_delta,num_prompts
7,4,3,0.07040540128946304,0.11775525659322739,0.04734985530376434,0.6725315733720311,64
7,5,0,0.07040540128946304,0.07138221710920334,0.0009768158197402954,0.01387416024674534,64
7,5,1,0.07040540128946304,0.07016114890575409,-0.00024425238370895386,-0.003469227917631935,64
7,5,2,0.07040540128946304,0.07292820513248444,0.002522803843021393,0.035832532686141026,64
7,5,3,0.07040540128946304,0.07666750997304916,0.006262108683586121,0.08894358342978965,64
8,0,0,0.049218907952308655,0.05210840702056885,0.002889499068260193,0.05870709425331635,64
8,0,1,0.049218907952308655,0.05097492039203644,0.0017560124397277832,0.03567759856422695,64
8,0,2,0.049218907952308655,0.049571771174669266,0.00035286322236061096,0.007169261510136581,64
8,0,3,0.049218907952308655,0.049133870750665665,-8.503720164299011e-05,-0.0017277344252265888,64
8,1,0,0.049218907952308655,0.04947394132614136,0.00025503337383270264,0.005181613823586642,64
8,1,1,0.049218907952308655,0.04912436008453369,-9.454786777496338e-05,-0.0019209663868336106,64
8,1,2,0.049218907952308655,0.04963630065321922,0.00041739270091056824,0.008480332422379756,64
8,1,3,0.049218907952308655,0.0639863982796669,0.014767490327358246,0.3000369358330212,64
8,2,0,0.049218907952308655,0.07407183200120926,0.024852924048900604,0.5049466776564251,64
8,2,1,0.049218907952308655,0.0489543117582798,-0.00026459619402885437,-0.005375905419922413,64
8,2,2,0.049218907952308655,0.049204662442207336,-1.424551010131836e-05,-0.0002894316573385235,64
8,2,3,0.049218907952308655,0.05474160611629486,0.005522698163986206,0.11220684069677642,64
8,3,0,0.049218907952308655,0.05427912250161171,0.005060214549303055,0.10281037836319754,64
8,3,1,0.049218907952308655,0.05400140583515167,0.004782497882843018,0.09716789912079962,64
8,3,2,0.049218907952308655,0.05387309566140175,0.004654187709093094,0.09456097062349032,64
8,3,3,0.049218907952308655,0.05280787870287895,0.0035889707505702972,0.07291853679433444,64
8,4,0,0.049218907952308655,0.05685974285006523,0.0076408348977565765,0.15524186162368794,64
8,4,1,0.049218907952308655,0.04759068414568901,-0.0016282238066196442,-0.03308126641420515,64
8,4,2,0.049218907952308655,0.07092034071683884,0.021701432764530182,0.44091658403142897,64
8,4,3,0.049218907952308655,0.05946914851665497,0.010250240564346313,0.20825818756625336,64
8,5,0,0.049218907952308655,0.050422996282577515,0.0012040883302688599,0.02446393835903702,64
8,5,1,0.049218907952308655,0.05247583985328674,0.0032569319009780884,0.06617237229374869,64
8,5,2,0.049218907952308655,0.06190416216850281,0.012685254216194153,0.2577313220404641,64
8,5,3,0.049218907952308655,0.05238606408238411,0.0031671561300754547,0.06434836248459569,64
9,0,0,0.048608213663101196,0.05635674670338631,0.0077485330402851105,0.15940789541928102,64
9,0,1,0.048608213663101196,0.04815554618835449,-0.0004526674747467041,-0.009312571695697065,64
9,0,2,0.048608213663101196,0.05221040919423103,0.003602195531129837,0.07410672517246154,64
9,0,3,0.048608213663101196,0.047313109040260315,-0.0012951046228408813,-0.026643740331427974,64
9,1,0,0.048608213663101196,0.04796651005744934,-0.0006417036056518555,-0.013201546760928908,64
9,1,1,0.048608213663101196,0.04885370656847954,0.0002454929053783417,0.005050440797408823,64
9,1,2,0.048608213663101196,0.04925037920475006,0.0006421655416488647,0.01321105001073359,64
9,1,3,0.048608213663101196,0.09907308965921402,0.050464875996112823,1.038196473230672,64
9,2,0,0.048608213663101196,0.08117875456809998,0.03257054090499878,0.6700624945831577,64
9,2,1,0.048608213663101196,0.052545469254255295,0.0039372555911540985,0.08099980012353128,64
9,2,2,0.048608213663101196,0.05754741653800011,0.00893920287489891,0.18390313490373775,64
9,2,3,0.048608213663101196,0.05141419172286987,0.0028059780597686768,0.05772641799097806,64
9,3,0,0.048608213663101196,0.05497211217880249,0.006363898515701294,0.13092228732530542,64
9,3,1,0.048608213663101196,0.05260719731450081,0.003998983651399612,0.08226971019823748,64
9,3,2,0.048608213663101196,0.05385908856987953,0.005250874906778336,0.10802443683825978,64
9,3,3,0.048608213663101196,0.04725894704461098,-0.0013492666184902191,-0.02775799637102686,64
9,4,0,0.048608213663101196,0.051725756376981735,0.003117542713880539,0.06413613006690162,64
9,4,1,0.048608213663101196,0.07157280296087265,0.022964589297771454,0.4724425681730324,64
9,4,2,0.048608213663101196,0.061398740857839584,0.012790527194738388,0.26313510064626433,64
9,4,3,0.048608213663101196,0.07068758457899094,0.02207937091588974,0.4542312759828099,64
9,5,0,0.048608213663101196,0.050929684191942215,0.0023214705288410187,0.04775881181075994,64
9,5,1,0.048608213663101196,0.05366175249218941,0.005053538829088211,0.10396470983298899,64
9,5,2,0.048608213663101196,0.0541827417910099,0.005574528127908707,0.11468284283044294,64
9,5,3,0.048608213663101196,0.0496208555996418,0.0010126419365406036,0.020832732993199335,64
