pool_index,stage,position,clean_mse,corrupt_mse,patched_mse,recovery,num_prompts
5,5,49,0.1656785011291504,0.16734813153743744,0.17180123925209045,-2.6671218312048737,64
5,6,49,0.1656785011291504,0.16734813153743744,0.1656785011291504,0.9999999994010651,64
6,0,49,0.04123130068182945,0.06739315390586853,0.06739315390586853,0.0,64
6,1,49,0.04123130068182945,0.06739315390586853,0.06705392897129059,0.012966395448365076,64
6,2,49,0.04123130068182945,0.06739315390586853,0.0535784587264061,0.5280472702232202,64
6,3,49,0.04123130068182945,0.06739315390586853,0.054545871913433075,0.49106926340139906,64
6,4,49,0.04123130068182945,0.06739315390586853,0.052433691918849945,0.5718043694512104,64
6,5,49,0.04123130068182945,0.06739315390586853,0.043691277503967285,0.9059708499249806,64
6,6,49,0.04123130068182945,0.06739315390586853,0.04123130068182945,0.9999999999617765,64
7,0,49,0.056186895817518234,0.0645902156829834,0.0645902156829834,0.0,64
7,1,49,0.056186895817518234,0.0645902156829834,0.06426635384559631,0.03853974887704907,64
7,2,49,0.056186895817518234,0.0645902156829834,0.06271778047084808,0.22282089006364936,64
7,3,49,0.056186895817518234,0.0645902156829834,0.06362725794315338,0.11459253665600175,64
7,4,49,0.056186895817518234,0.0645902156829834,0.058607783168554306,0.7119129831416958,64
7,5,49,0.056186895817518234,0.0645902156829834,0.061527494341135025,0.36446563864249276,64
7,6,49,0.056186895817518234,0.0645902156829834,0.056186895817518234,0.9999999998809994,64
8,0,49,0.043039076030254364,0.06266017258167267,0.06266017258167267,0.0,64
8,1,49,0.043039076030254364,0.06266017258167267,0.05914846807718277,0.1789759555541803,64
8,2,49,0.043039076030254364,0.06266017258167267,0.04477701708674431,0.911424876135389,64
8,3,49,0.043039076030254364,0.06266017258167267,0.05014248937368393,0.637970623840895,64
8,4,49,0.043039076030254364,0.06266017258167267,0.05628009885549545,0.3251639738448191,64
8,5,49,0.043039076030254364,0.06266017258167267,0.04544150456786156,0.8775589054266647,64
8,6,49,0.043039076030254364,0.06266017258167267,0.043039076030254364,0.9999999999490345,64
9,0,49,0.041246894747018814,0.048071764409542084,0.048071764409542084,0.0,64
9,1,49,0.041246894747018814,0.048071764409542084,0.048056840896606445,0.00218663705995732,64
9,2,49,0.041246894747018814,0.048071764409542084,0.047900836914777756,0.025044799855721847,64
9,3,49,0.041246894747018814,0.048071764409542084,0.04846945405006409,-0.058270657188887603,64
9,4,49,0.041246894747018814,0.048071764409542084,0.050805844366550446,-0.40060544622868605,64
9,5,49,0.041246894747018814,0.048071764409542084,0.044705942273139954,0.49317017061752333,64
9,6,49,0.041246894747018814,0.048071764409542084,0.041246894747018814,0.999999999853477,64
