family,value,pool_index,method,mse,actual_pool_cosine,mean_minority_context,num_prompts
similarity,0,5,ridge_current,0.477255452192867,8.940696716308594e-08,,128
similarity,0,5,ridge_history,0.7134431644386114,8.940696716308594e-08,,128
similarity,0,5,em_ridge_K2,0.0436052288861343,8.940696716308594e-08,,128
similarity,0,6,transformer,0.045724330839493246,5.960464477539063e-08,,128
similarity,0,6,known_pool,0.05153836198337933,5.960464477539063e-08,,128
similarity,0,6,ridge_current,0.40314434143973354,5.960464477539063e-08,,128
similarity,0,6,ridge_history,0.5361051096703058,5.960464477539063e-08,,128
similarity,0,6,em_ridge_K2,0.09599769498343273,5.960464477539063e-08,,128
similarity,0,7,transformer,0.07395692730563141,1.1175870895385742e-08,,128
similarity,0,7,known_pool,0.05295094850805321,1.1175870895385742e-08,,128
similarity,0,7,ridge_current,0.4056721931033126,1.1175870895385742e-08,,128
similarity,0,7,ridge_history,0.5296330593834728,1.1175870895385742e-08,,128
similarity,0,7,em_ridge_K2,0.05347995372553286,1.1175870895385742e-08,,128
similarity,0,8,transformer,0.07218046771301727,1.4901161193847656e-08,,128
similarity,0,8,known_pool,0.041438652655715336,1.4901161193847656e-08,,128
similarity,0,8,ridge_current,0.3821628571814637,1.4901161193847656e-08,,128
similarity,0,8,ridge_history,0.45052133326275856,1.4901161193847656e-08,,128
similarity,0,8,em_ridge_K2,0.04254387016599445,1.4901161193847656e-08,,128
similarity,0,9,transformer,0.1345092014245413,5.960464477539063e-08,,128
similarity,0,9,known_pool,0.1220543498638895,5.960464477539063e-08,,128
similarity,0,9,ridge_current,0.5064581010653101,5.960464477539063e-08,,128
similarity,0,9,ridge_history,0.6080446266638161,5.960464477539063e-08,,128
similarity,0,9,em_ridge_K2,0.13510344224225146,5.960464477539063e-08,,128
similarity,0.5,0,transformer,0.06190677344598559,0.5,,128
similarity,0.5,0,known_pool,0.03701743941027587,0.5,,128
similarity,0.5,0,ridge_current,0.41201825149470317,0.5,,128
similarity,0.5,0,ridge_history,0.30522933427548177,0.5,,128
similarity,0.5,0,em_ridge_K2,0.039594833887148906,0.5,,128
similarity,0.5,1,transformer,0.04420560337795895,0.5,,128
similarity,0.5,1,known_pool,0.033126862971666,0.5,,128
similarity,0.5,1,ridge_current,0.4977808345419905,0.5,,128
similarity,0.5,1,ridge_history,0.30149820269340677,0.5,,128
similarity,0.5,1,em_ridge_K2,0.03493833008956907,0.5,,128
similarity,0.5,2,transformer,0.04952458021188959,0.5,,128
similarity,0.5,2,known_pool,0.035649042652976345,0.5,,128
similarity,0.5,2,ridge_current,0.383004264433374,0.5,,128
similarity,0.5,2,ridge_history,0.2221474599635374,0.5,,128
similarity,0.5,2,em_ridge_K2,0.04230803160993384,0.5,,128
similarity,0.5,3,transformer,0.05313361941744262,0.49999988079071045,,128
similarity,0.5,3,known_pool,0.04714304173137932,0.49999988079071045,,128
similarity,0.5,3,ridge_current,0.4712736062289974,0.49999988079071045,,128
similarity,0.5,3,ridge_history,0.356850318912745,0.49999988079071045,,128
similarity,0.5,3,em_ridge_K2,0.05033973187197274,0.49999988079071045,,128
similarity,0.5,4,transformer,0.06973218323091983,0.5,,128
similarity,0.5,4,known_pool,0.055453497788439735,0.5,,128
similarity,0.5,4,ridge_current,0.526725725000619,0.5,,128
similarity,0.5,4,ridge_history,0.32068934054074305,0.5,,128
similarity,0.5,4,em_ridge_K2,0.06067910112926507,0.5,,128
similarity,0.5,5,transformer,0.05997225609178515,0.5000001192092896,,128
similarity,0.5,5,known_pool,0.05870369937820179,0.5000001192092896,,128
similarity,0.5,5,ridge_current,0.4111111345977202,0.5000001192092896,,128
similarity,0.5,5,ridge_history,0.30740226057608133,0.5000001192092896,,128
similarity,0.5,5,em_ridge_K2,0.06071583736315066,0.5000001192092896,,128
similarity,0.5,6,transformer,0.06931697665505081,0.5000000596046448,,128
similarity,0.5,6,known_pool,0.0561955485299013,0.5000000596046448,,128
similarity,0.5,6,ridge_current,0.5392504107647904,0.5000000596046448,,128
similarity,0.5,6,ridge_history,0.35908756754190807,0.5000000596046448,,128
similarity,0.5,6,em_ridge_K2,0.06131922633999111,0.5000000596046448,,128
similarity,0.5,7,transformer,0.05880702547362192,0.4999999403953552,,128
similarity,0.5,7,known_pool,0.05449531854402831,0.4999999403953552,,128
similarity,0.5,7,ridge_current,0.42442318500151965,0.4999999403953552,,128
similarity,0.5,7,ridge_history,0.3118373275056229,0.4999999403953552,,128
similarity,0.5,7,em_ridge_K2,0.05657748474366847,0.4999999403953552,,128
similarity,0.5,8,transformer,0.06036257772322826,0.5,,128
similarity,0.5,8,known_pool,0.06349255679957214,0.5,,128
similarity,0.5,8,ridge_current,0.5167310975037033,0.5,,128
similarity,0.5,8,ridge_history,0.29259701920331216,0.5,,128
similarity,0.5,8,em_ridge_K2,0.05998389969460089,0.5,,128
similarity,0.5,9,transformer,0.0503726909522288,0.4999999701976776,,128
similarity,0.5,9,known_pool,0.038136736129400536,0.4999999701976776,,128
similarity,0.5,9,ridge_current,0.48747684548145126,0.4999999701976776,,128
similarity,0.5,9,ridge_history,0.29827943654868666,0.4999999701976776,,128
similarity,0.5,9,em_ridge_K2,0.04302758495287094,0.4999999701976776,,128
similarity,0.9,0,transformer,0.05844181193470559,0.8999999761581421,,128
similarity,0.9,0,known_pool,0.04844314309598802,0.8999999761581421,,128
similarity,0.9,0,ridge_current,0.4486142762715192,0.8999999761581421,,128
