model_type,pool_index,pool_cosine,layer,head,source_position,same_attention,different_attention,selectivity,input_attention,output_attention,self_attention,num_prompts
trained,0,-0.5101710557937622,1,3,49,0.011927283159684669,0.008092520015080373,0.1915484938056966,0.01917192142228691,0.0007671763436222562,0.02298423135653138,128
trained,0,-0.5101710557937622,2,0,5,0.05395477368281438,0.055627077344864134,-0.01526077216574941,0.006125840125605464,0.10342987775802612,0.4522213824093342,128
trained,0,-0.5101710557937622,2,0,10,0.028483263030648232,0.027097892574965955,0.02492518265520584,0.0032039753859862685,0.05237717740237713,0.4441884532570839,128
trained,0,-0.5101710557937622,2,0,20,0.01432155307970549,0.014490982899530453,-0.0058804202428132165,0.002291668183170259,0.02651927936822176,0.42378102988004684,128
trained,0,-0.5101710557937622,2,0,30,0.008995088597311844,0.00947797525616914,-0.02614004166613445,0.0014499325693274538,0.017015335336327552,0.4460419751703739,128
trained,0,-0.5101710557937622,2,0,40,0.0076220414920417,0.008195388793945312,-0.03624781595372695,0.0010358810133766383,0.014796107821166516,0.3667204827070236,128
trained,0,-0.5101710557937622,2,0,49,0.006037727085697535,0.0058590378112006675,0.015019988713775134,0.0009703951488648142,0.010922608935103124,0.417242806404829,128
trained,0,-0.5101710557937622,2,1,5,0.0891804812504695,0.09941027732122512,-0.054243358201523026,0.05393086336553097,0.13450005054473876,0.057845421601086855,128
trained,0,-0.5101710557937622,2,1,10,0.045279860496520996,0.05070452205836773,-0.05651608540262392,0.03557625226676464,0.060408131778240205,0.04015617957338691,128
trained,0,-0.5101710557937622,2,1,20,0.02025637796419693,0.0287366650458014,-0.17309165874225757,0.022649379912763834,0.026264161430299283,0.021729199215769768,128
trained,0,-0.5101710557937622,2,1,30,0.01350426710550141,0.019395310516518976,-0.17906136907044984,0.01666058339178562,0.01614387904604276,0.01586614188272506,128
trained,0,-0.5101710557937622,2,1,40,0.010229410771616475,0.014357206253778367,-0.16788789924740427,0.012979771755635739,0.011711652111262082,0.012343025184236467,128
trained,0,-0.5101710557937622,2,1,49,0.00845354729444274,0.01172676628489259,-0.1621986188380855,0.0098221092960056,0.010427091726843191,0.007789138180669397,128
trained,0,-0.5101710557937622,2,2,5,0.05490755007817195,0.05344034830729167,0.013541580341936577,0.007212873362004757,0.10115794688463212,0.4581459015607834,128
trained,0,-0.5101710557937622,2,2,10,0.027382891438901425,0.026449134945869444,0.0173457429661016,0.004794864309951663,0.04903716444969177,0.46167974174022675,128
trained,0,-0.5101710557937622,2,2,20,0.015515507928358143,0.014742861974878643,0.025534949699035664,0.0027625231072306634,0.02750309109687805,0.3946877345442772,128
trained,0,-0.5101710557937622,2,2,30,0.009818871958569831,0.009963561833504333,-0.007314058343274096,0.001557655648017923,0.018222441772619884,0.4065970666706562,128
trained,0,-0.5101710557937622,2,2,40,0.007409852826762534,0.007460732051304408,-0.0034214676124471603,0.0010813366156071425,0.013790540397167206,0.4051249474287033,128
trained,0,-0.5101710557937622,2,2,49,0.006228216463269163,0.00614024876505788,0.007112256579959586,0.000958348491362163,0.011408265147890364,0.3940359316766262,128
trained,0,-0.5101710557937622,2,3,5,0.054302955040564906,0.05580590074024503,-0.013649635072571635,0.006790725234895945,0.10329464748501778,0.4495731443166733,128
trained,0,-0.5101710557937622,2,3,10,0.032341168448328975,0.02967122569680214,0.04305498583452789,0.004785736836493015,0.0572266586124897,0.3798760622739792,128
trained,0,-0.5101710557937622,2,3,20,0.014598736637517026,0.013654633557382818,0.033415591612189946,0.002570988819934428,0.025691232271492483,0.4347555749118328,128
trained,0,-0.5101710557937622,2,3,30,0.010675261412932896,0.010333008713164362,0.016291331827796893,0.0017966751785327992,0.01921712135275205,0.36958612501621246,128
trained,0,-0.5101710557937622,2,3,40,0.00790571335083497,0.007766885030837286,0.008858028299326163,0.0012070361408405006,0.014462037570774555,0.373237069696188,128
trained,0,-0.5101710557937622,2,3,49,0.006636548275279688,0.0062380533230297274,0.030952022023837646,0.001168025372435852,0.011698189514632128,0.3695554621517658,128
trained,0,-0.5101710557937622,3,0,5,0.033792633460118224,0.16682086066594198,-0.6631070745498765,0.16276655346155167,0.035768377408385274,0.007325345490244217,128
trained,0,-0.5101710557937622,3,0,10,0.009301380021497607,0.09050743207335472,-0.8136160560038538,0.09057557508349419,0.009233234776183962,0.0019118791169603355,128
trained,0,-0.5101710557937622,3,0,20,0.0031000030783492347,0.04727288751572088,-0.8769178007365485,0.04653872214257717,0.0034200489753857255,0.000824590493721189,128
trained,0,-0.5101710557937622,3,0,30,0.0029122881220891377,0.03084065107645466,-0.8274349913427096,0.030325903743505477,0.002976108202710748,0.0009396457135153469,128
trained,0,-0.5101710557937622,3,0,40,0.00199014396371249,0.022478002094087148,-0.8373277681578365,0.02283236961811781,0.0021559765096753835,0.000466170049548964,128
trained,0,-0.5101710557937622,3,0,49,0.0016704188884275357,0.018378277557630378,-0.8333638405530686,0.018446258592362305,0.001954069275561036,0.00038389753717638087,128
trained,0,-0.5101710557937622,3,1,5,0.09288533650911772,0.05443599337623233,0.2609896554867299,0.052803434804081915,0.09511866569519042,0.26038949750363827,128
trained,0,-0.5101710557937622,3,1,10,0.05819304659962654,0.023018482699990274,0.4331227869066752,0.037883125245571136,0.04332840107381344,0.18788472190499306,128
trained,0,-0.5101710557937622,3,1,20,0.0326716704265252,0.01121957294572415,0.4887557478919721,0.025315866991877555,0.0187764897942543,0.11815287079662085,128
trained,0,-0.5101710557937622,3,1,30,0.022356788785808334,0.007657776060654664,0.4897293297389289,0.018599433700243632,0.011652459700902304,0.09244323242455721,128
trained,0,-0.5101710557937622,3,1,40,0.017727711969960428,0.005539645603724889,0.5238268388283185,0.014380271174013614,0.008577624056488275,0.08168418426066637,128
trained,0,-0.5101710557937622,3,1,49,0.014653200124684684,0.004773806773596149,0.5085391384431052,0.012131144653777686,0.007087940996398731,0.058264799416065216,128
trained,0,-0.5101710557937622,3,2,5,0.09193157856280987,0.05904574772668263,0.21781966633090488,0.04322325922548771,0.10826790779829025,0.24254417046904564,128
trained,0,-0.5101710557937622,3,2,10,0.05737737268209457,0.025305906496942043,0.3878833363069614,0.03311111554503441,0.0495721634477377,0.17316721379756927,128
trained,0,-0.5101710557937622,3,2,20,0.0316505557612369,0.012357285252128865,0.438405294702142,0.02175135016441345,0.022437365353107454,0.11622569616883993,128
trained,0,-0.5101710557937622,3,2,30,0.022195091374649995,0.008213683497407186,0.45978201803949137,0.016569714744885763,0.014064801608522732,0.0809645289555192,128
trained,0,-0.5101710557937622,3,2,40,0.01776948672736097,0.00590369987487793,0.5012331905861629,0.013381381705403327,0.009990525338798762,0.06512373220175505,128
trained,0,-0.5101710557937622,3,2,49,0.014410649371069496,0.005138546507631072,0.4742958697890158,0.01097701794030715,0.008377038246514847,0.05165125569328666,128
trained,0,-0.5101710557937622,3,3,5,0.09558132465069111,0.059109460739862354,0.2357726985386436,0.047274527698755266,0.10798613280057907,0.22369669377803802,128
trained,0,-0.5101710557937622,3,3,10,0.058625949919223784,0.024574571289122105,0.4092688138866694,0.03498483374714852,0.048215685039758684,0.16799480468034744,128
trained,0,-0.5101710557937622,3,3,20,0.03229733185133329,0.0123657553165869,0.4462650882005358,0.02218608446419239,0.022663861885666846,0.10300109256058931,128
trained,0,-0.5101710557937622,3,3,30,0.022111227914408376,0.008428347306380264,0.4480376858112283,0.01634339342514674,0.014417102684577306,0.07718510180711746,128
trained,0,-0.5101710557937622,3,3,40,0.017559960848821665,0.005982634726024809,0.4917608207429181,0.012979492358863354,0.010269146785140038,0.07005441002547741,128
trained,0,-0.5101710557937622,3,3,49,0.014728555461871119,0.005027793259415159,0.49101999255120216,0.011114732799481372,0.008437454472390972,0.04194282693788409,128
trained,0,-0.5101710557937622,4,0,5,0.10790056668795073,0.04382068543207078,0.4223527051092762,0.09495148956775665,0.05777101255953312,0.23638749867677689,128
