model_type,pool_index,layer,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention
trained,0,0,25,False,0.01907093051704578,0.001426598643320176,0.01764433170319535,0.01868736824641625,0.01940936743117431
trained,0,0,26,False,0.01958777371328324,0.001774746619958023,0.017813026992371306,0.02001859282777793,0.01908393453617217
trained,0,0,27,False,0.0198612027161289,0.0018151282447433914,0.018046074255835265,0.019500735269061154,0.020296249410201764
trained,0,0,28,False,0.020264978607883677,0.0016792384485597722,0.0185857402975671,0.021324564060517425,0.019387036455529076
trained,0,0,29,False,0.020706419280031696,0.0019316492762300186,0.018774769589072093,0.021687539915243786,0.019918758448370745
trained,0,0,30,False,0.021437830262584612,0.001416570957417207,0.020021259173518047,0.02206944905478379,0.020914489163884095
trained,0,0,31,False,0.022764693159842864,0.0025662791904323967,0.02019841381115839,0.024075924167557366,0.021493807606972178
trained,0,0,32,False,0.020760441315360367,0.001391158732076292,0.01936928296345286,0.020436949233579284,0.02112706598515312
trained,0,0,33,False,0.023522993607912213,0.002202806894274545,0.02132018655538559,0.02340164475265096,0.023633475206903558
trained,0,0,34,False,0.022775449499022216,0.0016813035795166797,0.021094145893584937,0.022376594366505742,0.023174304253188893
trained,0,0,35,False,0.02226091828197241,0.0021413830181700177,0.020119535154663026,0.021975488853499744,0.02256476278266599
trained,0,0,36,False,0.02276723535032943,0.0021869224251531705,0.020580312906531617,0.024687095949391148,0.021410533860325813
trained,0,0,37,False,0.02357395621947944,0.0016781861572781054,0.021895769983530045,0.02523285987191513,0.022063610713873336
trained,0,0,38,False,0.024059097399003804,0.0019418834683619934,0.02211721384082921,0.02436753027141094,0.023740873095535096
trained,0,0,39,False,0.02344112185528502,0.0019467287834231684,0.02149439341155812,0.023590092418285517,0.023287422275022854
trained,0,0,40,False,0.02357363939518109,0.0020220506376062986,0.021551588841248304,0.023259654497871034,0.024063455648720266
trained,0,0,41,False,0.023441293684300035,0.0015871939867793117,0.021854100050404668,0.022806514159474572,0.024231984198354838
trained,0,0,42,False,0.022080830996856093,0.0014806654985477508,0.02060016558971256,0.021609507216993028,0.02248384738745897
trained,0,0,43,False,0.022868969303090125,0.002330851199985773,0.020538118318654597,0.02325716123370261,0.022547325172594616
trained,0,0,44,False,0.02103944288683124,0.00211499877514143,0.01892444462282583,0.019716054695891216,0.022362832125509158
trained,0,0,45,False,0.020674636180046946,0.002753823702732916,0.01792081235907972,0.0218320518865117,0.01977442360172669
