model_type,pool_index,pool_cosine,layer,head,source_task,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention,same_count,different_count,num_prompts
untrained,3,0.22948607802391052,5,3,49,33,False,0.020213237730786204,0.010146963293664157,0.010066275368444622,0.02031492834028445,0.020131599315455263,57,71,128
untrained,3,0.22948607802391052,5,3,49,34,False,0.02019160520285368,0.010149695444852114,0.010041910340078175,0.020187236741185187,0.0201954602756921,60,68,128
untrained,3,0.22948607802391052,5,3,49,35,False,0.020221062004566193,0.010153583949431777,0.01006747828796506,0.020274556055665017,0.02017386191908051,60,68,128
untrained,3,0.22948607802391052,5,3,49,36,False,0.02025790000334382,0.010186074418015778,0.010071825701743364,0.020251177131168304,0.020264215090058067,62,66,128
untrained,3,0.22948607802391052,5,3,49,37,False,0.020200172439217567,0.01012129196897149,0.01007888070307672,0.020254835883776346,0.02012281928141162,75,53,128
untrained,3,0.22948607802391052,5,3,49,38,False,0.020158869214355946,0.010131369228474796,0.010027499869465828,0.020277811611284974,0.020050577708144685,61,67,128
untrained,3,0.22948607802391052,5,3,49,39,False,0.020127969095483422,0.010086331982165575,0.010041637113317847,0.020071639953290716,0.020191808665792146,68,60,128
untrained,3,0.22948607802391052,5,3,49,40,False,0.02023013075813651,0.010118673904798925,0.010111456271260977,0.02026471103492536,0.020202368287973,57,71,128
untrained,3,0.22948607802391052,5,3,49,41,False,0.020138476975262165,0.010125253349542618,0.010013222927227616,0.020059179717844183,0.020198220157459992,55,73,128
untrained,3,0.22948607802391052,5,3,49,42,False,0.02008542907424271,0.010052531259134412,0.01003289723303169,0.020055063824722733,0.02012094072366165,69,59,128
untrained,3,0.22948607802391052,5,3,49,43,False,0.02030002325773239,0.010210996842943132,0.010089026065543294,0.020348079283447826,0.02024556038280328,68,60,128
untrained,3,0.22948607802391052,5,3,49,44,False,0.020192791242152452,0.01013016200158745,0.010062629473395646,0.020172393047495893,0.020222603558347776,76,52,128
untrained,3,0.22948607802391052,5,3,49,45,False,0.02013615402393043,0.010043550748378038,0.010092603508383036,0.020202791801205388,0.020087526859463873,54,74,128
untrained,3,0.22948607802391052,5,3,49,46,False,0.02014609961770475,0.010106195230036974,0.01003990403842181,0.020173669582413088,0.020120199431072582,62,66,128
untrained,3,0.22948607802391052,5,3,49,47,False,0.02022459334693849,0.010146178305149078,0.010078415158204734,0.02020034215279988,0.02025386151568643,70,58,128
untrained,3,0.22948607802391052,5,3,49,48,False,0.02020050073042512,0.010141200153157115,0.010059300693683326,0.020255881318679222,0.02014336179173182,65,63,128
untrained,3,0.22948607802391052,5,3,49,49,True,0.010127707500942051,0.010127707500942051,0.0,,,0,0,128
untrained,4,0.5655080080032349,0,0,49,0,False,0.020031721331179142,0.009991161059588194,0.010040560504421592,0.019912402256060453,0.020133748434591984,59,69,128
untrained,4,0.5655080080032349,0,0,49,1,False,0.02027789130806923,0.010142759419977665,0.010135132004506886,0.02030889518925401,0.02024966367145083,61,67,128
untrained,4,0.5655080080032349,0,0,49,2,False,0.020267605781555176,0.010011077392846346,0.01025652908720076,0.02018950091941016,0.020361871554933745,70,58,128
untrained,4,0.5655080080032349,0,0,49,3,False,0.020290519576519728,0.010172863374464214,0.01011765655130148,0.020408510371591106,0.020164916592259562,66,62,128
untrained,4,0.5655080080032349,0,0,49,4,False,0.020158301340416074,0.010012127924710512,0.01014617329929024,0.020218165507957117,0.020092548527678507,67,61,128
untrained,4,0.5655080080032349,0,0,49,5,False,0.020256687654182315,0.010131973656825721,0.010124714579433203,0.020244221687316894,0.020264678658583224,50,78,128
