T,pool_index,layer,position,score,num_prompts
2,6,5,49,0.9685713648796082,128
2,6,6,5,0.7731987237930298,128
2,6,6,10,0.8177980184555054,128
2,6,6,20,0.8021302819252014,128
2,6,6,30,0.8731991052627563,128
2,6,6,40,0.8782106041908264,128
2,6,6,49,0.939973771572113,128
2,7,0,5,-0.0094254519790411,128
2,7,0,10,-0.07088744640350342,128
2,7,0,20,-0.059087179601192474,128
2,7,0,30,-0.010752170346677303,128
2,7,0,40,-0.06559857726097107,128
2,7,0,49,-0.015190399251878262,128
2,7,1,5,-0.16409271955490112,128
2,7,1,10,-0.08925963938236237,128
2,7,1,20,-0.03469102457165718,128
2,7,1,30,0.08595884591341019,128
2,7,1,40,0.004417504649609327,128
2,7,1,49,0.05087314546108246,128
2,7,2,5,-0.2822415232658386,128
2,7,2,10,-0.13525015115737915,128
2,7,2,20,0.006221706047654152,128
2,7,2,30,0.039618708193302155,128
2,7,2,40,0.0605153851211071,128
2,7,2,49,-0.033016838133335114,128
2,7,3,5,0.15426790714263916,128
2,7,3,10,0.3419000208377838,128
2,7,3,20,0.37761855125427246,128
2,7,3,30,0.4193766713142395,128
2,7,3,40,0.4890211522579193,128
2,7,3,49,0.45880502462387085,128
2,7,4,5,0.2927062213420868,128
2,7,4,10,0.5168716907501221,128
2,7,4,20,0.4993373155593872,128
2,7,4,30,0.5807176232337952,128
2,7,4,40,0.5490545630455017,128
2,7,4,49,0.5950047969818115,128
2,7,5,5,0.2880045473575592,128
2,7,5,10,0.48356446623802185,128
2,7,5,20,0.560431957244873,128
2,7,5,30,0.6102721095085144,128
2,7,5,40,0.6550893187522888,128
2,7,5,49,0.624877393245697,128
2,7,6,5,0.2007756382226944,128
2,7,6,10,0.367906391620636,128
2,7,6,20,0.5647701025009155,128
2,7,6,30,0.6250027418136597,128
2,7,6,40,0.6549087166786194,128
2,7,6,49,0.616600751876831,128
2,8,0,5,-0.06704680621623993,128
2,8,0,10,-0.07579752057790756,128
2,8,0,20,-0.06190888583660126,128
2,8,0,30,-0.015412449836730957,128
2,8,0,40,-0.008922835811972618,128
2,8,0,49,-0.0529695488512516,128
2,8,1,5,0.1853424310684204,128
2,8,1,10,0.07135989516973495,128
2,8,1,20,0.17492175102233887,128
2,8,1,30,0.24804602563381195,128
2,8,1,40,0.23252955079078674,128
2,8,1,49,0.17279265820980072,128
2,8,2,5,0.20848645269870758,128
2,8,2,10,0.2135431468486786,128
2,8,2,20,0.21677520871162415,128
2,8,2,30,0.426119327545166,128
2,8,2,40,0.32368233799934387,128
2,8,2,49,0.2502284049987793,128
2,8,3,5,0.5506595373153687,128
2,8,3,10,0.5367507338523865,128
2,8,3,20,0.5381351709365845,128
2,8,3,30,0.7418726086616516,128
2,8,3,40,0.7362248301506042,128
2,8,3,49,0.6126766204833984,128
2,8,4,5,0.6924896836280823,128
2,8,4,10,0.6346977353096008,128
2,8,4,20,0.7000705599784851,128
2,8,4,30,0.817510187625885,128
2,8,4,40,0.8414299488067627,128
2,8,4,49,0.7660956978797913,128
2,8,5,5,0.6403564810752869,128
2,8,5,10,0.6735040545463562,128
2,8,5,20,0.7810872197151184,128
2,8,5,30,0.8494125604629517,128
2,8,5,40,0.9212784171104431,128
2,8,5,49,0.8702147006988525,128
2,8,6,5,0.5578425526618958,128
2,8,6,10,0.61543208360672,128
2,8,6,20,0.7335160970687866,128
2,8,6,30,0.8258378505706787,128
2,8,6,40,0.9007970094680786,128
2,8,6,49,0.8439236283302307,128
2,9,0,5,-0.04979564994573593,128
2,9,0,10,-0.03377208858728409,128
2,9,0,20,-0.09458862245082855,128
2,9,0,30,-0.047038353979587555,128
2,9,0,40,-0.039327699691057205,128
2,9,0,49,-0.07993611693382263,128
2,9,1,5,0.12643727660179138,128
2,9,1,10,0.2505847215652466,128
2,9,1,20,0.26263147592544556,128
2,9,1,30,0.25120991468429565,128
2,9,1,40,0.3045715391635895,128
2,9,1,49,0.24227449297904968,128
2,9,2,5,0.0185402724891901,128
2,9,2,10,0.27698951959609985,128
2,9,2,20,0.3250458538532257,128
2,9,2,30,0.21990066766738892,128
2,9,2,40,0.3665076494216919,128
2,9,2,49,0.24789747595787048,128
2,9,3,5,0.5683250427246094,128
2,9,3,10,0.663520097732544,128
2,9,3,20,0.6393181681632996,128
2,9,3,30,0.653143584728241,128
2,9,3,40,0.700742781162262,128
2,9,3,49,0.6940990090370178,128
2,9,4,5,0.732197105884552,128
2,9,4,10,0.7610316276550293,128
2,9,4,20,0.7953192591667175,128
2,9,4,30,0.7765856385231018,128
2,9,4,40,0.8464895486831665,128
2,9,4,49,0.8353180885314941,128
2,9,5,5,0.7931967377662659,128
2,9,5,10,0.8297457098960876,128
2,9,5,20,0.8594260811805725,128
2,9,5,30,0.8819770812988281,128
2,9,5,40,0.9398358464241028,128
2,9,5,49,0.9222535490989685,128
2,9,6,5,0.7342107892036438,128
2,9,6,10,0.7818893194198608,128
2,9,6,20,0.8407023549079895,128
2,9,6,30,0.856028139591217,128
2,9,6,40,0.892116904258728,128
2,9,6,49,0.8827491402626038,128
3,0,0,5,-0.04179775342345238,128
3,0,0,10,-0.052379295229911804,128
3,0,0,20,-0.04302133247256279,128
3,0,0,30,-0.13671480119228363,128
3,0,0,40,-0.09882774949073792,128
3,0,0,49,-0.1488197147846222,128
3,0,1,5,0.23886987566947937,128
