T,K,N,d,noise_std,method,pool_index,position,num_examples,mse
2,2,50,4,0.0,ridge_history,0,19,200,0.9350061622032513
2,2,50,4,0.0,ridge_history,0,20,200,0.6343139083473367
2,2,50,4,0.0,ridge_history,0,21,200,0.8223346041076789
2,2,50,4,0.0,ridge_history,0,22,200,0.6933774205305931
2,2,50,4,0.0,ridge_history,0,23,200,0.8833831410838755
2,2,50,4,0.0,ridge_history,0,24,200,0.8687020178856011
2,2,50,4,0.0,ridge_history,0,25,200,0.8521664267397199
2,2,50,4,0.0,ridge_history,0,26,200,0.8997154555035035
2,2,50,4,0.0,ridge_history,0,27,200,0.7482275192231537
2,2,50,4,0.0,ridge_history,0,28,200,0.6648029429063546
2,2,50,4,0.0,ridge_history,0,29,200,0.6810076011944055
2,2,50,4,0.0,ridge_history,0,30,200,0.7833064933181394
2,2,50,4,0.0,ridge_history,0,31,200,1.002867711065275
2,2,50,4,0.0,ridge_history,0,32,200,0.7268861027131421
2,2,50,4,0.0,ridge_history,0,33,200,0.7652522926496647
2,2,50,4,0.0,ridge_history,0,34,200,0.7693123745983086
2,2,50,4,0.0,ridge_history,0,35,200,0.7498157133276112
2,2,50,4,0.0,ridge_history,0,36,200,0.7065636869254663
2,2,50,4,0.0,ridge_history,0,37,200,0.5206918271861021
2,2,50,4,0.0,ridge_history,0,38,200,0.7881092506127527
2,2,50,4,0.0,ridge_history,0,39,200,0.6608265570424742
2,2,50,4,0.0,ridge_history,0,40,200,0.7098558783427332
2,2,50,4,0.0,ridge_history,0,41,200,0.701160541377479
2,2,50,4,0.0,ridge_history,0,42,200,0.8212070472438942
2,2,50,4,0.0,ridge_history,0,43,200,0.7420251904644407
2,2,50,4,0.0,ridge_history,0,44,200,0.8030961860538127
2,2,50,4,0.0,ridge_history,0,45,200,0.6669418608011108
2,2,50,4,0.0,ridge_history,0,46,200,0.8813454062469223
2,2,50,4,0.0,ridge_history,0,47,200,0.6733277156031885
2,2,50,4,0.0,ridge_history,0,48,200,0.8121291826718361
2,2,50,4,0.0,ridge_history,0,49,200,0.7939803698946071
2,2,50,4,0.0,transformer,1,0,200,0.4546872315761131
2,2,50,4,0.0,transformer,1,1,200,0.4636703855198175
2,2,50,4,0.0,transformer,1,2,200,0.3901740778219967
2,2,50,4,0.0,transformer,1,3,200,0.2934227047207382
2,2,50,4,0.0,transformer,1,4,200,0.21102103203179154
2,2,50,4,0.0,transformer,1,5,200,0.2398033910364753
2,2,50,4,0.0,transformer,1,6,200,0.17389357292839464
2,2,50,4,0.0,transformer,1,7,200,0.1718757177584372
2,2,50,4,0.0,transformer,1,8,200,0.11958098838807142
2,2,50,4,0.0,transformer,1,9,200,0.08617342130617558
2,2,50,4,0.0,transformer,1,10,200,0.03715148645634622
2,2,50,4,0.0,transformer,1,11,200,0.1119746303572936
2,2,50,4,0.0,transformer,1,12,200,0.06630545982106922
2,2,50,4,0.0,transformer,1,13,200,0.02369040950503071
2,2,50,4,0.0,transformer,1,14,200,0.029653433054876145
2,2,50,4,0.0,transformer,1,15,200,0.01675917308239957
2,2,50,4,0.0,transformer,1,16,200,0.04656133433405819
2,2,50,4,0.0,transformer,1,17,200,0.040642788505834256
2,2,50,4,0.0,transformer,1,18,200,0.053943019760491845
2,2,50,4,0.0,transformer,1,19,200,0.013507783077975814
2,2,50,4,0.0,transformer,1,20,200,0.020075556792100185
2,2,50,4,0.0,transformer,1,21,200,0.013215825793969307
2,2,50,4,0.0,transformer,1,22,200,0.01143157216870882
2,2,50,4,0.0,transformer,1,23,200,0.00901773808197172
