T,K,N,d,noise_std,method,position,mean_mse,stderr,ci95_low,ci95_high,num_pools
2,2,50,4,0.0,em_ridge,22,5.813150937783795e-05,4.833080975848913e-05,0.0,0.00016746339685684152,10
2,2,50,4,0.0,em_ridge,23,0.0002892613111226515,0.0002823154742029556,0.0,0.0009279032832596394,10
2,2,50,4,0.0,em_ridge,24,0.00029014866173544135,0.00028668584901318605,0.0,0.0009386771085535048,10
2,2,50,4,0.0,em_ridge,25,4.1089944032122056e-07,2.8383504404569963e-08,3.4669149252710823e-07,4.751073881153329e-07,10
2,2,50,4,0.0,em_ridge,26,0.0007050041710364736,0.0007042182105117272,0.0,0.0022980564401185117,10
2,2,50,4,0.0,em_ridge,27,0.00010712075320960122,7.199798139352341e-05,0.0,0.0002699915025259721,10
2,2,50,4,0.0,em_ridge,28,3.049512617967502e-07,2.05726302148505e-08,2.584127389986274e-07,3.5148978459487303e-07,10
2,2,50,4,0.0,em_ridge,29,2.545029359916087e-07,1.715858160214335e-08,2.156875277168626e-07,2.9331834426635476e-07,10
2,2,50,4,0.0,em_ridge,30,2.5013201629886127e-07,2.129839297117316e-08,2.0195170408303095e-07,2.983123285146916e-07,10
2,2,50,4,0.0,em_ridge,31,2.1471372070387865e-07,1.491009478489995e-08,1.8098474298821705e-07,2.4844269841954025e-07,10
2,2,50,4,0.0,em_ridge,32,1.9411275912976273e-07,8.997073551521833e-09,1.7375996475096535e-07,2.1446555350856012e-07,10
2,2,50,4,0.0,em_ridge,33,4.1671373934411245e-06,3.98313991800733e-06,0.0,1.317762588938886e-05,10
2,2,50,4,0.0,em_ridge,34,1.5991540855243583e-07,8.530643834001785e-09,1.4061775150006834e-07,1.792130656048033e-07,10
2,2,50,4,0.0,em_ridge,35,1.518290794010021e-07,5.581945693116611e-09,1.3920184096896777e-07,1.6445631783303643e-07,10
2,2,50,4,0.0,em_ridge,36,1.4050196142702162e-07,5.854764712374845e-09,1.272575634964247e-07,1.5374635935761854e-07,10
2,2,50,4,0.0,em_ridge,37,1.324874254126096e-07,7.009489676657981e-09,1.1663085813299767e-07,1.4834399269222152e-07,10
2,2,50,4,0.0,em_ridge,38,1.2512648151792007e-07,5.750183064244247e-09,1.1211866371173902e-07,1.3813429932410113e-07,10
2,2,50,4,0.0,em_ridge,39,1.1408685184968025e-07,5.4248466686721e-09,1.0181499610106169e-07,1.2635870759829883e-07,10
2,2,50,4,0.0,em_ridge,40,9.787106144998665e-08,2.8801432321069006e-09,9.135572480759125e-08,1.0438639809238205e-07,10
2,2,50,4,0.0,em_ridge,41,9.654342000427615e-08,4.4825617540346764e-09,8.640316082470131e-08,1.0668367918385098e-07,10
2,2,50,4,0.0,em_ridge,42,9.237799499253869e-08,3.4134737568128636e-09,8.465618088354077e-08,1.000998091015366e-07,10
2,2,50,4,0.0,em_ridge,43,8.58077791257056e-08,3.625764474951826e-09,7.760573004807404e-08,9.400982820333715e-08,10
2,2,50,4,0.0,em_ridge,44,8.718933980955236e-08,4.142470682745926e-09,7.78184200828971e-08,9.656025953620763e-08,10
2,2,50,4,0.0,em_ridge,45,8.33703873209917e-08,4.679759945203598e-09,7.278403484077324e-08,9.395673980121015e-08,10
2,2,50,4,0.0,em_ridge,46,7.281884140865167e-08,3.2555579825160596e-09,6.54542575995981e-08,8.018342521770525e-08,10
2,2,50,4,0.0,em_ridge,47,7.282091522332352e-08,2.899122981307136e-09,6.62626434053267e-08,7.937918704132033e-08,10
2,2,50,4,0.0,em_ridge,48,4.655013470238419e-06,4.587098115234212e-06,0.0,1.5031750328073637e-05,10
2,2,50,4,0.0,em_ridge,49,6.506602458402524e-08,1.9251690530821225e-09,6.071098962099807e-08,6.94210595470524e-08,10
2,2,50,4,0.0,known_pool,0,2.227694869412377e-15,1.5653533918711273e-16,1.8735873306392036e-15,2.5818024081855507e-15,10
2,2,50,4,0.0,known_pool,1,2.3786453217089715e-15,1.6474135269308467e-16,2.0059744907052445e-15,2.7513161527126984e-15,10
