T,K,N,d,noise_std,method,position_start,position_end,mean_mse,stderr,ci95_low,ci95_high,num_pools
3,3,50,4,0.0,ridge_history,40,49,0.7954468614067517,0.06532129656168827,0.6674171201458428,0.9234766026676606,10
3,3,50,4,0.0,transformer,40,49,0.0058863338811864785,0.00023360171968557326,0.0054284745106027545,0.0063441932517702025,10
3,3,50,4,0.2,em_ridge,40,49,0.057525704313497815,0.0017741375312857468,0.05404839475217775,0.06100301387481788,10
3,3,50,4,0.2,known_pool,40,49,0.052298268559790584,0.0015427602523386142,0.0492744584652069,0.05532207865437427,10
3,3,50,4,0.2,ridge_current,40,49,0.4524072604473698,0.003239136789556109,0.4460585523398398,0.45875596855489975,10
3,3,50,4,0.2,ridge_history,40,49,0.6736525799610658,0.05205846911453745,0.5716179804965723,0.7756871794255592,10
3,3,50,4,0.2,transformer,40,49,0.09486852774589302,0.002468978379911166,0.09002933012126714,0.0997077253705189,10
4,2,50,4,0.0,em_ridge,40,49,1.6433261724072357e-08,2.577094424421911e-10,1.5928151216885662e-08,1.693837223125905e-08,10
4,2,50,4,0.0,known_pool,40,49,2.2640425961713562e-15,7.212793005159396e-17,2.1226718532702322e-15,2.40541333907248e-15,10
4,2,50,4,0.0,ridge_current,40,49,0.2719382976321792,0.003702624758503213,0.2646811531055129,0.2791954421588455,10
4,2,50,4,0.0,ridge_history,40,49,0.4231721417495571,0.08189068709287048,0.262666395047531,0.5836778884515832,10
4,2,50,4,0.0,transformer,40,49,0.0026558493889292166,0.0003900808105893311,0.0018912910001741274,0.0034204077776843057,10
4,2,50,4,0.2,em_ridge,40,49,0.04594041169157653,0.0007866792380096283,0.04439852038507766,0.047482302998075404,10
4,2,50,4,0.2,known_pool,40,49,0.04400951101507626,0.0008441120479624784,0.0423550514010698,0.04566397062908272,10
4,2,50,4,0.2,ridge_current,40,49,0.33830827695365057,0.004143907743347277,0.3301862177766899,0.34643033613061125,10
4,2,50,4,0.2,ridge_history,40,49,0.5807442003594002,0.10543669659043152,0.37408827504215447,0.787400125676646,10
4,2,50,4,0.2,transformer,40,49,0.05250549832889347,0.0012489975177336602,0.050057463194135496,0.05495353346365145,10
4,3,50,4,0.0,em_ridge,40,49,2.6058542889473387e-06,2.5588535660905894e-06,0.0,7.621207278484894e-06,10
4,3,50,4,0.0,known_pool,40,49,2.271003394814315e-15,3.421372250393422e-17,2.203944498706604e-15,2.338062290922026e-15,10
4,3,50,4,0.0,ridge_current,40,49,0.2785428670055373,0.003644755027553578,0.2713991471515323,0.28568658685954235,10
4,3,50,4,0.0,ridge_history,40,49,0.7941217975203209,0.07025047772855293,0.656430861172357,0.9318127338682847,10
4,3,50,4,0.0,transformer,40,49,0.0057847633336054445,0.00041251682547718257,0.004976230355670167,0.006593296311540722,10
4,3,50,4,0.2,em_ridge,40,49,0.04939343516044267,0.001447918669915211,0.04655551456740886,0.05223135575347648,10
4,3,50,4,0.2,known_pool,40,49,0.04543327940396235,0.001193943066090203,0.04309315099442555,0.04777340781349915,10
4,3,50,4,0.2,ridge_current,40,49,0.339339850989808,0.0031343961684328317,0.3331964344996797,0.34548326747993635,10
4,3,50,4,0.2,ridge_history,40,49,0.6649447420143512,0.05213600955860515,0.562758163279485,0.7671313207492173,10
4,3,50,4,0.2,transformer,40,49,0.057162987964991016,0.002067330921785965,0.053111019358290525,0.06121495657169151,10
5,2,50,4,0.0,em_ridge,40,49,1.0222699890016159e-08,1.49228583231918e-10,9.930211866881599e-09,1.0515187913150718e-08,10
