T,layer,same_attention,different_attention,same_to_different_ratio,selectivity,same_task_observations,different_task_observations,num_prompts,pool_index
3,5,0.031404316425323486,0.00865341816097498,3.629122716725984,0.5679526937634244,12452,12636,128,2
3,0,0.017704352736473083,0.01737361028790474,1.0190370592575455,0.009428781492770573,12360,12728,128,3
3,1,0.019314687699079514,0.017799971625208855,1.0850965442959175,0.04081180055125568,12360,12728,128,3
3,2,0.014070970937609673,0.014919180423021317,0.9431463752457341,-0.02925853938670785,12360,12728,128,3
3,3,0.021609146147966385,0.01771792210638523,1.2196207895156523,0.09894518494016097,12360,12728,128,3
3,4,0.023280711844563484,0.01688430830836296,1.378837167586683,0.15925308917676412,12360,12728,128,3
3,5,0.02982184663414955,0.010363253764808178,2.877652840599098,0.48422407001989387,12360,12728,128,3
3,0,0.018048705533146858,0.017590777948498726,1.0260322531492823,0.012848883875771266,12588,12500,128,4
3,1,0.018598029389977455,0.018474334850907326,1.0066954799763226,0.0033365700192844582,12588,12500,128,4
3,2,0.014339098706841469,0.014401264488697052,0.9956833108714603,-0.0021630130918190147,12588,12500,128,4
3,3,0.020496373996138573,0.018931236118078232,1.082674890762454,0.0396964937394464,12588,12500,128,4
3,4,0.021870968863368034,0.018229449167847633,1.1997602704278727,0.09081001830668463,12588,12500,128,4
3,5,0.027418192476034164,0.012586496770381927,2.178381560511232,0.3707489293141045,12588,12500,128,4
3,0,0.018107064068317413,0.01764512062072754,1.0261796707157238,0.012920705450803436,12456,12632,128,5
3,1,0.01891573704779148,0.01828935742378235,1.034248312255882,0.0168358562961777,12456,12632,128,5
3,2,0.014327236451208591,0.014279307797551155,1.0033565109973788,0.0016754436761271627,12456,12632,128,5
3,3,0.02116752229630947,0.018245959654450417,1.1601210732232683,0.07412597155229841,12456,12632,128,5
3,4,0.02251262031495571,0.017607033252716064,1.278615198360173,0.12227391380549071,12456,12632,128,5
3,5,0.028558509424328804,0.011578085832297802,2.4666002513699663,0.42306587002362916,12456,12632,128,5
3,0,0.01777189038693905,0.01744430884718895,1.0187787055720976,0.009302012905260943,12616,12472,128,6
3,1,0.020456688478589058,0.016577940434217453,1.2339704416096062,0.10473300687050602,12616,12472,128,6
3,2,0.013590771704912186,0.01579934172332287,0.8602112634129302,-0.07514669937574693,12616,12472,128,6
3,3,0.022589031606912613,0.016604481264948845,1.3604177839988791,0.1526923693094198,12616,12472,128,6
3,4,0.02414761856198311,0.015844520181417465,1.5240359623072437,0.20761826302515027,12616,12472,128,6
3,5,0.0308567862957716,0.008863442577421665,3.4813545669461194,0.5537063693304395,12616,12472,128,6
3,0,0.01792878843843937,0.017493685707449913,1.0248719874282504,0.012283239425836354,12492,12596,128,7
3,1,0.01928415335714817,0.017796088010072708,1.0836175538260548,0.04013095093795478,12492,12596,128,7
3,2,0.014111985452473164,0.014637629501521587,0.964089537244143,-0.018283516140635673,12492,12596,128,7
3,3,0.02133278176188469,0.017925554886460304,1.1900765079243356,0.08678989397702928,12492,12596,128,7
3,4,0.023079782724380493,0.017030343413352966,1.355215344999112,0.15082075010820117,12492,12596,128,7
3,5,0.028872380033135414,0.011121517047286034,2.5960828824320417,0.4438392925339379,12492,12596,128,7
3,0,0.017879806458950043,0.017809797078371048,1.0039309476840708,0.0019616183325148182,12724,12364,128,8
3,1,0.019760379567742348,0.017530040815472603,1.1272295242063084,0.059809965383861914,12724,12364,128,8
3,2,0.014154798351228237,0.014711974188685417,0.9621277314443843,-0.019301632584203216,12724,12364,128,8
3,3,0.0211518332362175,0.018176965415477753,1.163661411723138,0.07564095326393896,12724,12364,128,8
3,4,0.021985096856951714,0.018014997243881226,1.2203774754625027,0.09925225683376122,12724,12364,128,8
3,5,0.02845419943332672,0.011260216124355793,2.526967432870176,0.43294061029295083,12724,12364,128,8
3,0,0.017744943499565125,0.017704086378216743,1.0023077791463249,0.0011525596466037218,12620,12468,128,9
3,1,0.019332677125930786,0.01780417561531067,1.0858507320780235,0.041158617324689874,12620,12468,128,9
3,2,0.013891931623220444,0.015171675942838192,0.9156491132265547,-0.04403253507703815,12620,12468,128,9
3,3,0.0211983323097229,0.018130602315068245,1.1692017695465684,0.07800185852786615,12620,12468,128,9
3,4,0.022610126063227654,0.017444679513573647,1.2961044108396942,0.12895947128615445,12620,12468,128,9
3,5,0.029315780848264694,0.010541396215558052,2.781014985946313,0.4710415040845336,12620,12468,128,9
4,0,0.016655471175909042,0.01576182432472706,1.056696917360006,0.027566977361342452,12280,12808,128,0
4,1,0.016351643949747086,0.01645771972835064,0.9935546491036165,-0.003233094662983845,12280,12808,128,0
4,2,0.014514750801026821,0.014022652059793472,1.0350931292550802,0.017243991810795205,12280,12808,128,0
4,3,0.029846111312508583,0.009982980787754059,2.989699364053697,0.4987090962242532,12280,12808,128,0
4,4,0.021640339866280556,0.018683917820453644,1.1582335179504193,0.07331621746875976,12280,12808,128,0
4,5,0.022343171760439873,0.018022552132606506,1.2397340618600001,0.10703684242802988,12280,12808,128,0
4,0,0.01678840070962906,0.015671348199248314,1.0712799241123572,0.03441346738437782,12716,12372,128,1
4,1,0.016707805916666985,0.016639839857816696,1.004084538038289,0.0020381066570610324,12716,12372,128,1
4,2,0.015176206827163696,0.01417683344334364,1.070493413625402,0.03404667368729719,12716,12372,128,1
4,3,0.029312891885638237,0.009799870662391186,2.9911508932594257,0.4988914091477324,12716,12372,128,1
4,4,0.02142820879817009,0.018718045204877853,1.1447888154787647,0.06750725965831028,12716,12372,128,1
4,5,0.02256081812083721,0.017578812316060066,1.2834096931694052,0.1241168827552924,12716,12372,128,1
4,0,0.016142787411808968,0.015374568291008472,1.0499668742731316,0.0243744788758348,12452,12636,128,2
4,1,0.016163036227226257,0.016305984929203987,0.9912333598615249,-0.004402618153748065,12452,12636,128,2
4,2,0.014066528528928757,0.013464207760989666,1.044734957944144,0.0218781205702681,12452,12636,128,2
4,3,0.028637703508138657,0.010820461437106133,2.646624977557116,0.45154766056042167,12452,12636,128,2
4,4,0.021753432229161263,0.018381815403699875,1.1834213189184106,0.08400637903877893,12452,12636,128,2
4,5,0.02200535498559475,0.0182256568223238,1.2073833717005669,0.09394986587255068,12452,12636,128,2
4,0,0.016954004764556885,0.01616857200860977,1.048577744251556,0.023712912232825126,12360,12728,128,3
4,1,0.016347993165254593,0.016430340707302094,0.9949880806786372,-0.0025122552710479655,12360,12728,128,3
4,2,0.014215135015547276,0.013870715163648129,1.0248307205386058,0.012263109348716675,12360,12728,128,3
4,3,0.026339801028370857,0.01350790448486805,1.9499546401055379,0.3220234735784114,12360,12728,128,3
4,4,0.021787989884614944,0.018466904759407043,1.179839836100099,0.08250139901188626,12360,12728,128,3
4,5,0.021866347640752792,0.018433010205626488,1.1862602687692494,0.08519583483722372,12360,12728,128,3
4,0,0.015885109081864357,0.015774300321936607,1.0070246386632853,0.003500026122232279,12588,12500,128,4
4,1,0.016259295865893364,0.016265196725726128,0.9996372094397462,-0.00018142819034428634,12588,12500,128,4
4,2,0.014357459731400013,0.014289218932390213,1.00477568433465,0.002382153959651079,12588,12500,128,4
4,3,0.02435058355331421,0.01538639422506094,1.582604942856114,0.22558810028908585,12588,12500,128,4
4,4,0.021713554859161377,0.018416771665215492,1.1790098315750233,0.08215191550817007,12588,12500,128,4
4,5,0.021413667127490044,0.018894372507929802,1.1333357124457515,0.06250104550722095,12588,12500,128,4
4,0,0.016510795801877975,0.016029827296733856,1.0300045968207105,0.014780556097115337,12456,12632,128,5
4,1,0.016370223835110664,0.01645984686911106,0.9945550505595173,-0.0027299068225543543,12456,12632,128,5
4,2,0.013978973031044006,0.013982090167701244,0.9997770621831321,-0.00011148133513670853,12456,12632,128,5
4,3,0.025196798145771027,0.01460650097578764,1.7250399796322415,0.26606581373169047,12456,12632,128,5
4,4,0.021940132603049278,0.018294228240847588,1.1992926027926702,0.09061668399175618,12456,12632,128,5
4,5,0.021626342087984085,0.018699968233704567,1.1564908462788221,0.07256735939726254,12456,12632,128,5
4,0,0.017250999808311462,0.01593959517776966,1.0822733962761342,0.03951133238472389,12616,12472,128,6
4,1,0.0165027417242527,0.016252024099230766,1.015426855356054,0.007654386124237926,12616,12472,128,6
4,2,0.01455698162317276,0.01380943413823843,1.054133100418964,0.026353258417345447,12616,12472,128,6
4,3,0.029351068660616875,0.009707494638860226,3.023547243912054,0.5029261796226803,12616,12472,128,6
4,4,0.02096058987081051,0.01918024942278862,1.0928215482905355,0.044352347368725356,12616,12472,128,6
4,5,0.02269085682928562,0.017498867586255074,1.2967042991461188,0.12918698295484934,12616,12472,128,6
4,0,0.016885317862033844,0.015721822157502174,1.0740051434799158,0.03568223719818975,12492,12596,128,7
4,1,0.016369128599762917,0.016054831445217133,1.019576484226461,0.009693361147428511,12492,12596,128,7
4,2,0.014754374511539936,0.014570479281246662,1.0126210831327944,0.006270968359900534,12492,12596,128,7
4,3,0.026160862296819687,0.0134622473269701,1.943276011903996,0.3204850676895211,12492,12596,128,7
4,4,0.021953381597995758,0.018151605501770973,1.2094457207024394,0.09479559454207873,12492,12596,128,7
4,5,0.0215438399463892,0.01870531216263771,1.1517498216052875,0.07052391503956365,12492,12596,128,7
4,0,0.01636221446096897,0.016628006473183632,0.9840154012061934,-0.00805669088258526,12724,12364,128,8
4,1,0.016659175977110863,0.016465889289975166,1.0117386120926595,0.005835058303349257,12724,12364,128,8
4,2,0.014073701575398445,0.014050356112420559,1.0016615566745137,0.0008300887175323035,12724,12364,128,8
4,3,0.024523666128516197,0.01495949737727642,1.639337573317658,0.24223410441355864,12724,12364,128,8
4,4,0.021533755585551262,0.01849363185465336,1.1643875986496914,0.07595109062362433,12724,12364,128,8
4,5,0.02106497250497341,0.01917428895831108,1.0986051451906806,0.046986039949750244,12724,12364,128,8
4,0,0.01680154912173748,0.01615593023598194,1.0399617277572566,0.019589449749721825,12620,12468,128,9
4,1,0.01627865806221962,0.01600303128361702,1.0172234105975142,0.008538177034348657,12620,12468,128,9
4,2,0.014782928861677647,0.014632419683039188,1.010286007502431,0.005116688602538778,12620,12468,128,9
4,3,0.025997206568717957,0.013477620668709278,1.9289166246587686,0.3171536590827304,12620,12468,128,9
4,4,0.021509500220417976,0.018645575270056725,1.153598100829878,0.07132161788714883,12620,12468,128,9
4,5,0.02179090678691864,0.018410297110676765,1.183626024931523,0.08409224969613616,12620,12468,128,9
5,0,0.016819199547171593,0.016323015093803406,1.0303978431997254,0.014971372877258932,12280,12808,128,0
5,1,0.019209863618016243,0.01825110986828804,1.0525312573672065,0.025593401892738392,12280,12808,128,0
5,2,0.02474936656653881,0.014900106005370617,1.6610194959430564,0.24840836264102356,12280,12808,128,0
5,3,0.035176537930965424,0.004671909846365452,7.529370019485989,0.7655160937524285,12280,12808,128,0
5,4,0.035621803253889084,0.004685607273131609,7.602387732781834,0.767506410763324,12280,12808,128,0
5,5,0.028459515422582626,0.011875446885824203,2.396500586142567,0.41115864717944417,12280,12808,128,0
5,0,0.01694582775235176,0.01647934503853321,1.028307114920392,0.013956029987846756,12716,12372,128,1
5,1,0.019353151321411133,0.018087953329086304,1.0699469956222372,0.03379168441035887,12716,12372,128,1
5,2,0.024964530020952225,0.014174510724842548,1.7612269309020212,0.27568430627081714,12716,12372,128,1
5,3,0.03466935455799103,0.004061724990606308,8.535623322153038,0.790260171524013,12716,12372,128,1
5,4,0.035180360078811646,0.004029525443911552,8.730645970226526,0.7944637996162304,12716,12372,128,1
5,5,0.028280341997742653,0.01150437816977501,2.4582243021219923,0.421668513874943,12716,12372,128,1
5,0,0.01688993349671364,0.016710173338651657,1.010757528029119,0.005349987693276537,12452,12636,128,2
5,1,0.019228192046284676,0.01841535046696663,1.044139348896787,0.021593121291172572,12452,12636,128,2
5,2,0.024527182802557945,0.014907089062035084,1.6453368394385608,0.24395261496283605,12452,12636,128,2
5,3,0.03455590829253197,0.004854757338762283,7.117947588569272,0.7536323093763057,12452,12636,128,2
5,4,0.03565378487110138,0.00418788893148303,8.513545954638184,0.789773444146246,12452,12636,128,2
5,5,0.028282292187213898,0.011832915246486664,2.390137307508499,0.4100533935394337,12452,12636,128,2
5,0,0.016747217625379562,0.016382884234189987,1.0222386599320061,0.010997050136878416,12360,12728,128,3
5,1,0.018979499116539955,0.018581070005893707,1.0214427430992872,0.010607643067055647,12360,12728,128,3
5,2,0.022965827956795692,0.016718855127692223,1.3736483617682838,0.15741521271075257,12360,12728,128,3
5,3,0.030472325161099434,0.009540285915136337,3.19406833633287,0.5231360484343652,12360,12728,128,3
5,4,0.034873660653829575,0.005092374049127102,6.84821270342609,0.7451649088044069,12360,12728,128,3
5,5,0.027926890179514885,0.012242416851222515,2.281158248318112,0.39045914624045347,12360,12728,128,3
5,0,0.01668691448867321,0.016647789627313614,1.0023501535180024,0.0011736975742596303,12588,12500,128,4
5,1,0.018982257694005966,0.018645314499735832,1.0180711992964724,0.008954688666471398,12588,12500,128,4
5,2,0.021534616127610207,0.018115436658263206,1.18874397199735,0.08623391973301965,12588,12500,128,4
5,3,0.0266655832529068,0.013171507976949215,2.0244897774478727,0.33873143995624894,12588,12500,128,4
5,4,0.032113708555698395,0.007443587761372328,4.314278219751626,0.6236553832340614,12588,12500,128,4
5,5,0.026624929159879684,0.01332083996385336,1.9987425141453177,0.3330537748520142,12588,12500,128,4
5,0,0.016994940117001534,0.0167006216943264,1.0176232015826765,0.008734634677501872,12456,12632,128,5
5,1,0.018828636035323143,0.018353654071688652,1.025879422254513,0.012774413901550388,12456,12632,128,5
5,2,0.022245928645133972,0.01737290993332863,1.2804952498174655,0.12299751549139025,12456,12632,128,5
5,3,0.028236620128154755,0.011561616323888302,2.442272718375285,0.41898851031652773,12456,12632,128,5
5,4,0.03303251042962074,0.006799693219363689,4.857941287049992,0.6585831263926542,12456,12632,128,5
5,5,0.02722945623099804,0.012847241014242172,2.1194788982951325,0.35886727712982885,12456,12632,128,5
5,0,0.01657004840672016,0.016269182786345482,1.0184929768339188,0.00916177417814247,12616,12472,128,6
5,1,0.019133485853672028,0.018514297902584076,1.0334437716377853,0.01644686324955472,12616,12472,128,6
5,2,0.02482713758945465,0.01447087712585926,1.7156622486337676,0.2635313905452759,12616,12472,128,6
5,3,0.03478943556547165,0.0042366813868284225,8.211482617888102,0.7828796858264565,12616,12472,128,6
5,4,0.03575972840189934,0.0036675704177469015,9.750249982621359,0.8139578146337842,12616,12472,128,6
5,5,0.02841861918568611,0.01146827545017004,2.4780202837964405,0.42496022541395423,12616,12472,128,6
5,0,0.016905328258872032,0.016767922788858414,1.008194543339913,0.004080552537646331,12492,12596,128,7
5,1,0.018879126757383347,0.01833769492805004,1.0295256209386006,0.01454804050463076,12492,12596,128,7
5,2,0.02249275892972946,0.017076680436730385,1.3171622560406755,0.13687529011568192,12492,12596,128,7
5,3,0.03043573535978794,0.009215429425239563,3.3026931199135885,0.535174844158961,12492,12596,128,7
5,4,0.03344416618347168,0.006227267440408468,5.370600589024639,0.6860578571750946,12492,12596,128,7
5,5,0.027747588232159615,0.012258830480277538,2.26347760308791,0.38715681759004705,12492,12596,128,7
5,0,0.01705694943666458,0.016636569052934647,1.0252684542343051,0.012476594982494954,12724,12364,128,8
5,1,0.019097426906228065,0.018580235540866852,1.0278355656053801,0.0137267370577309,12724,12364,128,8
5,2,0.02166680619120598,0.017836008220911026,1.2147788856591637,0.096975317513577,12724,12364,128,8
5,3,0.026891464367508888,0.012811477296054363,2.0990135443467426,0.3546333465859083,12724,12364,128,8
5,4,0.03297549858689308,0.006257162429392338,5.270040367178943,0.681022787274358,12724,12364,128,8
5,5,0.027127280831336975,0.012609145604074001,2.1513972225502878,0.36536086733569956,12724,12364,128,8
5,0,0.01625738851726055,0.016359204426407814,0.993776231013844,-0.003121598547190607,12620,12468,128,9
5,1,0.01891137845814228,0.01868235506117344,1.0122588076406283,0.006092063105442001,12620,12468,128,9
5,2,0.022455215454101562,0.017104076221585274,1.3128575412779775,0.13526883333467526,12620,12468,128,9
5,3,0.028980720788240433,0.01058871764689684,2.7369433915100765,0.4648032387796456,12620,12468,128,9
5,4,0.033830586820840836,0.005574004724621773,6.06935022344037,0.7170885672959799,12620,12468,128,9
5,5,0.02752259373664856,0.012402311898767948,2.219150264990729,0.3787180357032013,12620,12468,128,9
