model_type,layer,position,metric,control,mean,stderr,ci95_low,ci95_high,num_pools
trained,1,5,component_accuracy,actual,0.8890625,0.03354829773997483,0.8131709779678291,0.9649540220321708,10
trained,1,5,component_accuracy,shuffled,0.51875,0.013641459222613329,0.4878908753085457,0.5496091246914544,10
trained,1,10,beta_r2,actual,0.5610821843147278,0.06624225349534178,0.41123179609034594,0.7109325725391096,10
trained,1,10,beta_r2,shuffled,-0.25648407749831675,0.043686048809212584,-0.355308785726429,-0.15765936927020452,10
trained,1,10,component_accuracy,actual,0.87578125,0.04025017388031799,0.7847290308527654,0.9668334691472346,10
trained,1,10,component_accuracy,shuffled,0.5015625,0.02006391696276898,0.4561747665288838,0.5469502334711163,10
trained,1,20,beta_r2,actual,0.5495413899421692,0.06790951789007203,0.3959193876249699,0.7031633922593684,10
trained,1,20,beta_r2,shuffled,-0.13500303383916618,0.02336578888589032,-0.18786012053181367,-0.0821459471465187,10
trained,1,20,component_accuracy,actual,0.88125,0.03809211354838864,0.79507965249039,0.9674203475096099,10
trained,1,20,component_accuracy,shuffled,0.503125,0.015459189666308158,0.46815388336530506,0.538096116634695,10
trained,1,30,beta_r2,actual,0.5577219113707542,0.061259878430736256,0.41914243858651695,0.6963013841549914,10
trained,1,30,beta_r2,shuffled,-0.16255581080913545,0.015947563530538545,-0.19863170587892265,-0.12647991573934825,10
trained,1,30,component_accuracy,actual,0.87265625,0.039080724915178236,0.7842495082057833,0.9610629917942167,10
trained,1,30,component_accuracy,shuffled,0.49609375,0.014322916666666668,0.46369306147033823,0.5284944385296618,10
trained,1,40,beta_r2,actual,0.5452469887211919,0.07367774380445913,0.37857635283512364,0.7119176246072603,10
trained,1,40,beta_r2,shuffled,-0.1640816457569599,0.014815594722740551,-0.19759684948012274,-0.13056644203379708,10
trained,1,40,component_accuracy,actual,0.8796875,0.04342325905644731,0.7814572634934156,0.9779177365065843,10
trained,1,40,component_accuracy,shuffled,0.50703125,0.01677414886998741,0.4690854889839146,0.5449770110160855,10
trained,1,49,beta_r2,actual,0.543574582785368,0.06684040563844383,0.39237108040602475,0.6947780851647112,10
trained,1,49,beta_r2,shuffled,-0.20884875804185868,0.017961572091375083,-0.24948065700347916,-0.1682168590802382,10
trained,1,49,component_accuracy,actual,0.87109375,0.042059508777990175,0.7759485309540955,0.9662389690459045,10
trained,1,49,component_accuracy,shuffled,0.49921875,0.013301659155335554,0.46912830646465736,0.5293091935353427,10
trained,2,5,beta_r2,actual,0.5997481495141983,0.050014673496234285,0.48660709761967835,0.7128892014087183,10
trained,2,5,beta_r2,shuffled,-0.3599330440163612,0.03944738565505163,-0.4491692300295994,-0.27069685800312304,10
trained,2,5,component_accuracy,actual,0.9078125,0.027628723353905923,0.8453119855659917,0.9703130144340083,10
trained,2,5,component_accuracy,shuffled,0.4921875,0.012489144591960205,0.46393509210407474,0.5204399078959252,10
trained,2,10,beta_r2,actual,0.5963166907429696,0.06047141411789404,0.45952084815163907,0.7331125333343,10
trained,2,10,beta_r2,shuffled,-0.2171899974346161,0.0227419582902647,-0.2686358812769964,-0.1657441135922358,10
