model_type,pool_index,layer,position,metric,control,score,num_prompts
trained,0,6,20,beta_r2,shuffled,-0.3621383309364319,128
trained,0,6,20,component_accuracy,actual,0.8203125,128
trained,0,6,20,component_accuracy,shuffled,0.3984375,128
trained,0,6,30,beta_r2,actual,0.4818328619003296,128
trained,0,6,30,beta_r2,shuffled,-0.2523699700832367,128
trained,0,6,30,component_accuracy,actual,0.84375,128
trained,0,6,30,component_accuracy,shuffled,0.5546875,128
trained,0,6,40,beta_r2,actual,0.4439023733139038,128
trained,0,6,40,beta_r2,shuffled,-0.2783566415309906,128
trained,0,6,40,component_accuracy,actual,0.828125,128
trained,0,6,40,component_accuracy,shuffled,0.4375,128
trained,0,6,49,beta_r2,actual,0.6297802329063416,128
trained,0,6,49,beta_r2,shuffled,-0.3085041046142578,128
trained,0,6,49,component_accuracy,actual,0.90625,128
trained,0,6,49,component_accuracy,shuffled,0.5078125,128
raw_input,0,-1,5,beta_r2,actual,-0.03595275059342384,128
raw_input,0,-1,5,beta_r2,shuffled,-0.0696684867143631,128
raw_input,0,-1,5,component_accuracy,actual,0.5,128
raw_input,0,-1,5,component_accuracy,shuffled,0.53125,128
raw_input,0,-1,10,beta_r2,actual,-0.0701201781630516,128
raw_input,0,-1,10,beta_r2,shuffled,-0.054699528962373734,128
raw_input,0,-1,10,component_accuracy,actual,0.421875,128
raw_input,0,-1,10,component_accuracy,shuffled,0.53125,128
raw_input,0,-1,20,beta_r2,actual,-0.042077984660863876,128
raw_input,0,-1,20,beta_r2,shuffled,-0.10096084326505661,128
raw_input,0,-1,20,component_accuracy,actual,0.4921875,128
raw_input,0,-1,20,component_accuracy,shuffled,0.5703125,128
raw_input,0,-1,30,beta_r2,actual,-0.1414056122303009,128
raw_input,0,-1,30,beta_r2,shuffled,-0.04839898273348808,128
raw_input,0,-1,30,component_accuracy,actual,0.4765625,128
raw_input,0,-1,30,component_accuracy,shuffled,0.4765625,128
raw_input,0,-1,40,beta_r2,actual,-0.08749110251665115,128
raw_input,0,-1,40,beta_r2,shuffled,-0.06820163130760193,128
raw_input,0,-1,40,component_accuracy,actual,0.4453125,128
raw_input,0,-1,40,component_accuracy,shuffled,0.53125,128
raw_input,0,-1,49,beta_r2,actual,-0.1292496770620346,128
raw_input,0,-1,49,beta_r2,shuffled,-0.004396843258291483,128
raw_input,0,-1,49,component_accuracy,actual,0.3828125,128
raw_input,0,-1,49,component_accuracy,shuffled,0.5703125,128
untrained,0,0,5,beta_r2,actual,-0.04299665614962578,128
untrained,0,0,5,beta_r2,shuffled,-0.046858590096235275,128
untrained,0,0,5,component_accuracy,actual,0.46875,128
untrained,0,0,5,component_accuracy,shuffled,0.5078125,128
untrained,0,0,10,beta_r2,actual,-0.050782542675733566,128
untrained,0,0,10,beta_r2,shuffled,-0.05047882720828056,128
untrained,0,0,10,component_accuracy,actual,0.5234375,128
